Ticker,Market,Company,Listing_Year,Listing_Date,Source,Notes
001282,SZSE,三联锻造,2023,2023-05-24,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001282,深交所主板
301252,SZSE,同星科技,2023,2023-05-25,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301252,创业板
301337,SZSE,亚华电子,2023,2023-05-26,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301337,创业板
301353,SZSE,普莱得,2023,2023-05-30,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301353,创业板
001373,SZSE,翔腾新材,2023,2023-06-01,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ001373,深交所主板
301310,SZSE,鑫宏业,2023,2023-06-02,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301310,创业板
301323,SZSE,新莱福,2023,2023-06-06,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301323,创业板
301383,SZSE,天键股份,2023,2023-06-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301383,创业板
301320,SZSE,豪江智能,2023,2023-06-09,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301320,创业板
301355,SZSE,南王科技,2023,2023-06-12,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301355,创业板
301287,SZSE,康力源,2023,2023-06-14,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301287,创业板
301232,SZSE,飞沃科技,2023,2023-06-15,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301232,创业板
301225,SZSE,恒勃股份,2023,2023-06-16,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301225,创业板
301448,SZSE,开创电气,2023,2023-06-19,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301448,创业板
301262,SZSE,海看股份,2023,2023-06-20,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301262,创业板
301376,SZSE,致欧科技,2023,2023-06-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301376,创业板
301315,SZSE,威士顿,2023,2023-06-21,https://emweb.securities.eastmoney.com/PC_HSF10/CompanySurvey/PageAjax?code=SZ301315,创业板
